,1,1074563512248
1503,2355,1074567100931
1503,2356,1074567102434
1502,2357,1074567103936
1503,2358,1074567105439
1503,2359,1074567106942
1503,2360,1074567108445
1503,2361,1074567109948
1502,2362,1074567111450
1503,2363,1074567112953
1503,2364,1074567114456
1503,2365,1074567115959
1502,2366,1074567117461
1503,2367,1074567118964
1503,2368,1074567120467
1503,2369,1074567121970
1503,2370,1074567123473
1503,2371,1074567124976
1502,2372,1074567126478
1503,2373,1074567127981
1503,2374,1074567129484
1503,2375,1074567130987
1503,2376,1074567132490
1502,2377,1074567133992
1503,2378,1074567135495
1503,2379,1074567136998
1503,2380,1074567138501
1503,2381,1074567140004
1502,2382,1074567141506
1503,2383,1074567143009
1503,2384,1074567144512
1503,2385,1074567146015
1502,2386,1074567147517
1503,2387,1074567149020
1503,2388,1074567150523
1503,2389,1074567152026
1503,2390,1074567153529
1502,2391,1074567155031
1503,2392,1074567156534
1503,2393,1074567158037
1503,2394,1074567159540
1503,2395,1074567161043
1502,2396,1074567162545
1503,2397,1074567164048
1503,2398,1074567165551
1503,2399,1074567167054
1503,2400,1074567168557
1502,2401,1074567170059
1504,2402,1074567171563
1502,2403,1074567173065
1503,2404,1074567174568
1503,2405,1074567176071
1502,2406,1074567177573
1504,2407,1074567179077
1502,2408,1074567180579
1503,2409,1074567182082
1503,2410,1074567183585
1503,2411,1074567185088
1502,2412,1074567186590
1503,2413,1074567188093
1503,2414,1074567189596
1503,2415,1074567191099
1502,2416,1074567192601
1503,2417,1074567194104
1503,2418,1074567195607
1503,2419,1074567197110
1520,2420,1074567198630
1486,2421,1074567200116
1502,2422,1074567201618
1503,2423,1074567203121
1503,2424,1074567204624
1503,2425,1074567206127
1502,2426,1074567207629
1503,2427,1074567209132
1503,2428,1074567210635
1503,2429,1074567212138
1503,2430,1074567213641
1502,2431,1074567215143
1503,2432,1074567216646
1503,2433,1074567218149
1503,2434,1074567219652
1503,2435,1074567221155
1502,2436,1074567222657
1503,2437,1074567224160
1503,2438,1074567225663
1503,2439,1074567227166
1503,2440,1074567228669
1502,2441,1074567230171
1503,2442,1074567231674
1503,2443,1074567233177
1503,2444,1074567234680
1503,2445,1074567236183
1502,2446,1074567237685
1503,2447,1074567239188
1503,2448,1074567240691
1503,2449,1074567242194
1503,2450,1074567243697
1502,2451,1074567245199
1503,2452,1074567246702
1503,2453,1074567248205
1503,2454,1074567249708
1503,2455,1074567251211
1502,2456,1074567252713
1503,2457,1074567254216
1503,2458,1074567255719
1503,2459,1074567257222
1503,2460,1074567258725
1502,2461,1074567260227
1503,2462,1074567261730
1503,2463,1074567263233
1503,2464,1074567264736
1503,2465,1074567266239
1502,2466,1074567267741
1503,2467,1074567269244
1503,2468,1074567270747
1503,2469,1074567272250
1503,2470,1074567273753
1502,2471,1074567275255
1503,2472,1074567276758
1503,2473,1074567278261
1503,2474,1074567279764
1503,2475,1074567281267
1502,2476,1074567282769
1503,2477,1074567284272
1503,2478,1074567285775
1503,2479,1074567287278
1503,2480,1074567288781
1502,2481,1074567290283
1503,2482,1074567291786
1503,2483,1074567293289
1503,2484,1074567294792
1503,2485,1074567296295
1502,2486,1074567297797
1503,2487,1074567299300
1503,2488,1074567300803
1503,2489,1074567302306
1503,2490,1074567303809
1502,2491,1074567305311
